### SYSTEM         = Linux c4e0c8588006 5.15.6-cachedSeo #64 SMP Sat Jun 25 20:37:24 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 1G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = nvme
### FS_TYPES       = overlayfs
### BENCH_TYPES    = DWOL,DWSL,DRBL
### NCORES         = 1,2,4,8,16,24,32,40,48,56,64
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63


### MODEL_NAME     = Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 32
### SMT_LEVEL      = 1


## nvme:overlayfs:DWOL:1:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

1 30.000011 103716815.000000 3457225.899017

### NUM_TEST_CONF  = 1
### SYSTEM         = Linux c4e0c8588006 5.15.6-cachedSeo #64 SMP Sat Jun 25 20:37:24 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 1G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = nvme
### FS_TYPES       = overlayfs
### BENCH_TYPES    = DWOL,DWSL,DRBL
### NCORES         = 1,2,4,8,16,24,32,40,48,56,64
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63


### MODEL_NAME     = Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 32
### SMT_LEVEL      = 1


## nvme:overlayfs:DWOL:2:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

2 30.000000 206879534.000000 6895984.466667

### NUM_TEST_CONF  = 1
### SYSTEM         = Linux c4e0c8588006 5.15.6-cachedSeo #64 SMP Sat Jun 25 20:37:24 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 1G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = nvme
### FS_TYPES       = overlayfs
### BENCH_TYPES    = DWOL,DWSL,DRBL
### NCORES         = 1,2,4,8,16,24,32,40,48,56,64
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63


### MODEL_NAME     = Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 32
### SMT_LEVEL      = 1


## nvme:overlayfs:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.000000 415340877.000000 13844695.900000

### NUM_TEST_CONF  = 1
### SYSTEM         = Linux c4e0c8588006 5.15.6-cachedSeo #64 SMP Sat Jun 25 20:37:24 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 1G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = nvme
### FS_TYPES       = overlayfs
### BENCH_TYPES    = DWOL,DWSL,DRBL
### NCORES         = 1,2,4,8,16,24,32,40,48,56,64
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63


### MODEL_NAME     = Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 32
### SMT_LEVEL      = 1


## nvme:overlayfs:DWOL:8:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

8 29.999992 830096648.000000 27669895.299432

### NUM_TEST_CONF  = 1
### SYSTEM         = Linux c4e0c8588006 5.15.6-cachedSeo #64 SMP Sat Jun 25 20:37:24 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 1G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = nvme
### FS_TYPES       = overlayfs
### BENCH_TYPES    = DWOL,DWSL,DRBL
### NCORES         = 1,2,4,8,16,24,32,40,48,56,64
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63


### MODEL_NAME     = Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 32
### SMT_LEVEL      = 1


## nvme:overlayfs:DWOL:16:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

16 29.999990 1616228009.000000 53874284.139095

### NUM_TEST_CONF  = 1
### SYSTEM         = Linux c4e0c8588006 5.15.6-cachedSeo #64 SMP Sat Jun 25 20:37:24 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 1G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = nvme
### FS_TYPES       = overlayfs
### BENCH_TYPES    = DWOL,DWSL,DRBL
### NCORES         = 1,2,4,8,16,24,32,40,48,56,64
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63


### MODEL_NAME     = Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 32
### SMT_LEVEL      = 1


## nvme:overlayfs:DWOL:32:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

32 29.999975 3209009724.000000 106967078.267871

### NUM_TEST_CONF  = 1
### SYSTEM         = Linux c4e0c8588006 5.15.6-cachedSeo #64 SMP Sat Jun 25 20:37:24 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 1G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = nvme
### FS_TYPES       = overlayfs
### BENCH_TYPES    = DWOL,DWSL,DRBL
### NCORES         = 1,2,4,8,16,24,32,40,48,56,64
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63


### MODEL_NAME     = Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 32
### SMT_LEVEL      = 1


## nvme:overlayfs:DWOL:64:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

64 29.999938 6366290887.000000 212210137.895683

### NUM_TEST_CONF  = 1
### SYSTEM         = Linux c4e0c8588006 5.15.6-cachedSeo #64 SMP Sat Jun 25 20:37:24 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 1G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = nvme
### FS_TYPES       = overlayfs
### BENCH_TYPES    = DWOL,DWSL,DRBL
### NCORES         = 1,2,4,8,16,24,32,40,48,56,64
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63


### MODEL_NAME     = Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 32
### SMT_LEVEL      = 1


## nvme:overlayfs:DWSL:1:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

1 30.000018 9529235.000000 317640.976082

### NUM_TEST_CONF  = 1
### SYSTEM         = Linux c4e0c8588006 5.15.6-cachedSeo #64 SMP Sat Jun 25 20:37:24 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 1G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = nvme
### FS_TYPES       = overlayfs
### BENCH_TYPES    = DWOL,DWSL,DRBL
### NCORES         = 1,2,4,8,16,24,32,40,48,56,64
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63


### MODEL_NAME     = Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 32
### SMT_LEVEL      = 1


## nvme:overlayfs:DWSL:2:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

2 30.000003 16713147.000000 557104.835004

### NUM_TEST_CONF  = 1
### SYSTEM         = Linux c4e0c8588006 5.15.6-cachedSeo #64 SMP Sat Jun 25 20:37:24 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 1G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = nvme
### FS_TYPES       = overlayfs
### BENCH_TYPES    = DWOL,DWSL,DRBL
### NCORES         = 1,2,4,8,16,24,32,40,48,56,64
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63


### MODEL_NAME     = Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 32
### SMT_LEVEL      = 1


## nvme:overlayfs:DWSL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.000006 27571440.000000 919047.831508

### NUM_TEST_CONF  = 1
### SYSTEM         = Linux c4e0c8588006 5.15.6-cachedSeo #64 SMP Sat Jun 25 20:37:24 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 1G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = nvme
### FS_TYPES       = overlayfs
### BENCH_TYPES    = DWOL,DWSL,DRBL
### NCORES         = 1,2,4,8,16,24,32,40,48,56,64
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63


### MODEL_NAME     = Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 32
### SMT_LEVEL      = 1


## nvme:overlayfs:DWSL:8:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

8 29.999997 42916056.000000 1430535.319211

### NUM_TEST_CONF  = 1
### SYSTEM         = Linux c4e0c8588006 5.15.6-cachedSeo #64 SMP Sat Jun 25 20:37:24 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 1G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = nvme
### FS_TYPES       = overlayfs
### BENCH_TYPES    = DWOL,DWSL,DRBL
### NCORES         = 1,2,4,8,16,24,32,40,48,56,64
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63


### MODEL_NAME     = Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 32
### SMT_LEVEL      = 1


## nvme:overlayfs:DWSL:16:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

16 30.000001 53456473.000000 1781882.362800

### NUM_TEST_CONF  = 1
### SYSTEM         = Linux c4e0c8588006 5.15.6-cachedSeo #64 SMP Sat Jun 25 20:37:24 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 1G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = nvme
### FS_TYPES       = overlayfs
### BENCH_TYPES    = DWOL,DWSL,DRBL
### NCORES         = 1,2,4,8,16,24,32,40,48,56,64
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63


### MODEL_NAME     = Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 32
### SMT_LEVEL      = 1


## nvme:overlayfs:DWSL:32:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

32 29.999991 47501469.000000 1583382.778314

### NUM_TEST_CONF  = 1
### SYSTEM         = Linux c4e0c8588006 5.15.6-cachedSeo #64 SMP Sat Jun 25 20:37:24 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 1G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = nvme
### FS_TYPES       = overlayfs
### BENCH_TYPES    = DWOL,DWSL,DRBL
### NCORES         = 1,2,4,8,16,24,32,40,48,56,64
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63


### MODEL_NAME     = Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 32
### SMT_LEVEL      = 1


## nvme:overlayfs:DWSL:64:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

64 29.999961 42907779.000000 1430261.160829

### NUM_TEST_CONF  = 1
### SYSTEM         = Linux c4e0c8588006 5.15.6-cachedSeo #64 SMP Sat Jun 25 20:37:24 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 1G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = nvme
### FS_TYPES       = overlayfs
### BENCH_TYPES    = DWOL,DWSL,DRBL
### NCORES         = 1,2,4,8,16,24,32,40,48,56,64
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63


### MODEL_NAME     = Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 32
### SMT_LEVEL      = 1


## nvme:overlayfs:DRBL:1:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

1 30.000014 134214972.000000 4473830.312213

### NUM_TEST_CONF  = 1
### SYSTEM         = Linux c4e0c8588006 5.15.6-cachedSeo #64 SMP Sat Jun 25 20:37:24 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 1G
### DURATION       = 30s
